,State Postal,FIPS Code,County Name,TOTAL VOTES CAST,Party,Votes,Party.1,Votes.1,Party.2,Votes.2,Party.3,Votes.3,Party.4,Votes.4
0,AK,0,Alaska,220596,Dem,91696,GOP,121234,Lib,5539.0,Grn,2127.0,,
1,AK,2000,Alaska,220596,Dem,91696,GOP,121234,Lib,5539.0,Grn,2127.0,,
2,AL,0,Alabama,2064699,Dem,793620,GOP,1252453,Ind,2961.0,Ind,12283.0,Ind,3382.0
3,AL,1001,Autauga,23909,Dem,6354,GOP,17366,Ind,31.0,Ind,136.0,Ind,22.0
4,AL,1003,Baldwin,84988,Dem,18329,GOP,65772,Ind,122.0,Ind,597.0,Ind,168.0
5,AL,1005,Barbour,11459,Dem,5873,GOP,5539,Ind,9.0,Ind,32.0,Ind,6.0
6,AL,1007,Bibb,8391,Dem,2200,GOP,6131,Ind,13.0,Ind,38.0,Ind,9.0
7,AL,1009,Blount,23980,Dem,2961,GOP,20741,Ind,59.0,Ind,169.0,Ind,50.0
8,AL,1011,Bullock,5318,Dem,4058,GOP,1250,Ind,4.0,Ind,3.0,Ind,3.0
9,AL,1013,Butler,9483,Dem,4367,GOP,5081,Ind,9.0,Ind,20.0,Ind,6.0
10,AL,1015,Calhoun,46240,Dem,15500,GOP,30272,Ind,85.0,Ind,291.0,Ind,92.0
11,AL,1017,Chambers,14562,Dem,6853,GOP,7596,Ind,20.0,Ind,78.0,Ind,15.0
12,AL,1019,Cherokee,9761,Dem,2126,GOP,7494,Ind,36.0,Ind,79.0,Ind,26.0
13,AL,1021,Chilton,17434,Dem,3391,GOP,13910,Ind,29.0,Ind,66.0,Ind,38.0
14,AL,1023,Choctaw,7965,Dem,3785,GOP,4150,Ind,4.0,Ind,19.0,Ind,7.0
15,AL,1025,Clarke,13827,Dem,6317,GOP,7463,Ind,11.0,Ind,22.0,Ind,14.0
16,AL,1027,Clay,6640,Dem,1770,GOP,4802,Ind,10.0,Ind,42.0,Ind,16.0
17,AL,1029,Cleburne,6302,Dem,971,GOP,5269,Ind,14.0,Ind,37.0,Ind,11.0
18,AL,1031,Coffee,19715,Dem,4899,GOP,14638,Ind,35.0,Ind,110.0,Ind,33.0
19,AL,1033,Colbert,23374,Dem,9160,GOP,13931,Ind,46.0,Ind,201.0,Ind,36.0
