,Year,FIPS,State,County,Total Votes,Dem,Rep,Lib,Grn
0,2016,1001,AL,autauga,24661,5908,18110,0,0
1,2016,1003,AL,baldwin,94090,18409,72780,0,0
2,2016,1005,AL,barbour,10390,4848,5431,0,0
3,2016,1007,AL,bibb,8748,1874,6733,0,0
4,2016,1009,AL,blount,25384,2150,22808,0,0
5,2016,1011,AL,bullock,4701,3530,1139,0,0
6,2016,1013,AL,butler,8685,3716,4891,0,0
7,2016,1015,AL,calhoun,47376,13197,32803,0,0
8,2016,1017,AL,chambers,13778,5763,7803,0,0
9,2016,1019,AL,cherokee,10503,1524,8809,0,0
10,2016,1021,AL,chilton,18255,2909,15068,0,0
11,2016,1023,AL,choctaw,7268,3109,4102,0,0
12,2016,1025,AL,clarke,12936,5712,7109,0,0
13,2016,1027,AL,clay,6572,1234,5230,0,0
14,2016,1029,AL,cleburne,6532,684,5738,0,0
15,2016,1031,AL,coffee,20513,4194,15825,0,0
16,2016,1033,AL,colbert,24626,7296,16718,0,0
17,2016,1035,AL,conecuh,6543,3069,3413,0,0
18,2016,1037,AL,coosa,5223,1780,3376,0,0
19,2016,1039,AL,covington,15818,2379,13222,0,0
20,2016,1041,AL,crenshaw,6252,1663,4511,0,0
21,2016,1043,AL,cullman,37278,3730,32734,0,0
22,2016,1045,AL,dale,18617,4408,13798,0,0
23,2016,1047,AL,dallas,18730,12826,5784,0,0
24,2016,1049,AL,dekalb,26086,3682,21779,0,0
25,2016,1051,AL,elmore,36905,8436,27619,0,0
26,2016,1053,AL,escambia,15213,4698,10282,0,0
27,2016,1055,AL,etowah,43474,10350,32132,0,0
28,2016,1057,AL,fayette,8196,1358,6705,0,0
29,2016,1059,AL,franklin,11955,2197,9466,0,0
30,2016,1061,AL,geneva,11659,1522,9967,0,0
31,2016,1063,AL,greene,4862,4006,838,0,0
32,2016,1065,AL,hale,8010,4772,3172,0,0
33,2016,1067,AL,henry,8017,2286,5623,0,0
34,2016,1069,AL,houston,42030,10547,30567,0,0
35,2016,1071,AL,jackson,20785,3663,16643,0,0
36,2016,1073,AL,jefferson,290111,151581,130614,0,0
37,2016,1075,AL,lamar,6931,1035,5819,0,0
38,2016,1077,AL,lauderdale,38813,9877,27735,0,0
39,2016,1079,AL,lawrence,14623,3611,10732,0,0
40,2016,1081,AL,lee,57668,20987,34321,0,0
41,2016,1083,AL,limestone,39400,9340,28824,0,0
42,2016,1085,AL,lowndes,6676,4882,1751,0,0
43,2016,1087,AL,macon,8748,7237,1394,0,0
44,2016,1089,AL,madison,159473,62435,89199,0,0
45,2016,1091,AL,marengo,10948,5607,5224,0,0
46,2016,1093,AL,marion,12912,1432,11273,0,0
47,2016,1095,AL,marshall,34965,4913,29217,0,0
48,2016,1097,AL,mobile,163387,68429,91087,0,0
49,2016,1099,AL,monroe,10185,4310,5771,0,0
50,2016,1101,AL,montgomery,94572,58669,33928,0,0
51,2016,1103,AL,morgan,49991,11216,37392,0,0
52,2016,1105,AL,perry,5255,3823,1403,0,0
53,2016,1107,AL,pickens,9494,3972,5454,0,0
54,2016,1109,AL,pike,13025,5039,7681,0,0
55,2016,1111,AL,randolph,10130,2290,7697,0,0
56,2016,1113,AL,russell,19136,9577,9210,0,0
57,2016,1117,AL,shelby,99208,22927,72846,0,0
58,2016,1115,AL,st. clair,37937,5550,31579,0,0
59,2016,1119,AL,sumter,6391,4739,1581,0,0
60,2016,1121,AL,talladega,33218,12108,20596,0,0
61,2016,1123,AL,tallapoosa,18504,5271,12967,0,0
62,2016,1125,AL,tuscaloosa,81708,31746,47701,0,0
63,2016,1127,AL,walker,29243,4486,24208,0,0
64,2016,1129,AL,washington,8492,2366,6031,0,0
65,2016,1131,AL,wilcox,6095,4329,1737,0,0
66,2016,1133,AL,winston,10255,871,9225,0,0
67,2016,2000,AK,alaska,246588,93007,130415,14593,4445
68,2016,4001,AZ,apache,18659,12196,5315,822,326
69,2016,4003,AZ,cochise,43147,15291,25036,2022,798
70,2016,4005,AZ,coconino,44929,25308,16573,2117,931
71,2016,4007,AZ,gila,21398,6746,13672,776,204
72,2016,4009,AZ,graham,11939,3301,8025,497,116
73,2016,4011,AZ,greenlee,3243,1092,1892,200,59
74,2016,4012,AZ,la paz,4931,1318,3381,177,55
75,2016,4013,AZ,maricopa,1201934,549040,590465,48732,13697
76,2016,4015,AZ,mohave,74189,16485,54656,2386,662
77,2016,4017,AZ,navajo,35409,15362,18165,1248,634
78,2016,4019,AZ,pima,360762,195649,147019,13065,5029
79,2016,4021,AZ,pinal,93805,35737,53857,3246,965
80,2016,4023,AZ,santa cruz,14926,10684,3650,395,197
81,2016,4025,AZ,yavapai,92780,29705,58862,3069,1144
82,2016,4027,AZ,yuma,40759,18336,20586,1399,438
83,2016,5001,AR,arkansas,6167,1939,3825,126,64
84,2016,5003,AR,ashley,8027,2408,5338,156,34
85,2016,5005,AR,baxter,19572,4163,14655,451,138
86,2016,5007,AR,benton,94262,27894,60751,3856,946
87,2016,5009,AR,boone,15912,2925,12225,379,134
88,2016,5011,AR,bradley,3617,1317,2163,73,16
89,2016,5013,AR,calhoun,2250,636,1554,44,3
90,2016,5015,AR,carroll,10656,3334,6773,237,210
91,2016,5017,AR,chicot,4149,2350,1716,35,15
92,2016,5019,AR,clark,8365,3606,4398,196,68
93,2016,5021,AR,clay,5978,1999,3779,100,35
94,2016,5023,AR,cleburne,11968,2101,9454,229,63
95,2016,5025,AR,cleveland,3299,723,2460,59,8
96,2016,5027,AR,columbia,8837,3140,5456,117,40
