,state_abbr,county_name,party,votes_total_2016
1,AL,Autauga,GOP,18110.0
2,AL,Autauga,DEM,5908.0
3,AL,Autauga,IND,538.0
4,AL,Autauga,IND,105.0
5,AL,Baldwin,GOP,72780.0
6,AL,Baldwin,DEM,18409.0
7,AL,Baldwin,IND,2448.0
8,AL,Baldwin,IND,453.0
9,AL,Barbour,GOP,5431.0
10,AL,Barbour,DEM,4848.0
11,AL,Barbour,IND,93.0
12,AL,Barbour,IND,18.0
13,AL,Bibb,GOP,6733.0
14,AL,Bibb,DEM,1874.0
15,AL,Bibb,IND,124.0
16,AL,Bibb,IND,17.0
17,AL,Blount,GOP,22808.0
18,AL,Blount,DEM,2150.0
19,AL,Blount,IND,337.0
20,AL,Blount,IND,89.0
21,AL,Bullock,DEM,3530.0
22,AL,Bullock,GOP,1139.0
23,AL,Bullock,IND,22.0
24,AL,Bullock,IND,10.0
25,AL,Butler,GOP,4891.0
26,AL,Butler,DEM,3716.0
27,AL,Butler,IND,65.0
28,AL,Butler,IND,13.0
29,AL,Calhoun,GOP,32803.0
30,AL,Calhoun,DEM,13197.0
31,AL,Calhoun,IND,1114.0
32,AL,Calhoun,IND,262.0
33,AL,Chambers,GOP,7803.0
34,AL,Chambers,DEM,5763.0
35,AL,Chambers,IND,168.0
36,AL,Chambers,IND,44.0
37,AL,Cherokee,GOP,8809.0
38,AL,Cherokee,DEM,1524.0
39,AL,Cherokee,IND,145.0
40,AL,Cherokee,IND,25.0
41,AL,Chilton,GOP,15068.0
42,AL,Chilton,DEM,2909.0
43,AL,Chilton,IND,226.0
44,AL,Chilton,IND,52.0
45,AL,Choctaw,GOP,4102.0
46,AL,Choctaw,DEM,3109.0
47,AL,Choctaw,IND,51.0
48,AL,Choctaw,IND,6.0
49,AL,Clarke,GOP,7109.0
50,AL,Clarke,DEM,5712.0
51,AL,Clarke,IND,98.0
52,AL,Clarke,IND,17.0
53,AL,Clay,GOP,5230.0
54,AL,Clay,DEM,1234.0
55,AL,Clay,IND,92.0
56,AL,Clay,IND,16.0
57,AL,Cleburne,GOP,5738.0
58,AL,Cleburne,DEM,684.0
59,AL,Cleburne,IND,90.0
60,AL,Cleburne,IND,20.0
61,AL,Coffee,GOP,15825.0
62,AL,Coffee,DEM,4194.0
63,AL,Coffee,IND,392.0
64,AL,Coffee,IND,102.0
65,AL,Colbert,GOP,16718.0
66,AL,Colbert,DEM,7296.0
67,AL,Colbert,IND,506.0
68,AL,Colbert,IND,106.0
69,AL,Conecuh,GOP,3413.0
70,AL,Conecuh,DEM,3069.0
71,AL,Conecuh,IND,51.0
72,AL,Conecuh,IND,10.0
73,AL,Coosa,GOP,3376.0
74,AL,Coosa,DEM,1780.0
75,AL,Coosa,IND,53.0
76,AL,Coosa,IND,14.0
77,AL,Covington,GOP,13222.0
78,AL,Covington,DEM,2379.0
79,AL,Covington,IND,181.0
80,AL,Covington,IND,36.0
81,AL,Crenshaw,GOP,4511.0
82,AL,Crenshaw,DEM,1663.0
83,AL,Crenshaw,IND,64.0
84,AL,Crenshaw,IND,14.0
85,AL,Cullman,GOP,32734.0
86,AL,Cullman,DEM,3730.0
87,AL,Cullman,IND,682.0
88,AL,Cullman,IND,132.0
89,AL,Dale,GOP,13798.0
90,AL,Dale,DEM,4408.0
91,AL,Dale,IND,349.0
92,AL,Dale,IND,62.0
93,AL,Dallas,DEM,12826.0
94,AL,Dallas,GOP,5784.0
95,AL,Dallas,IND,96.0
96,AL,Dallas,IND,24.0
97,AL,DeKalb,GOP,21779.0
98,AL,DeKalb,DEM,3682.0
99,AL,DeKalb,IND,469.0
100,AL,DeKalb,IND,156.0
101,AL,Elmore,GOP,27619.0
102,AL,Elmore,DEM,8436.0
103,AL,Elmore,IND,738.0
104,AL,Elmore,IND,112.0
105,AL,Escambia,GOP,10282.0
106,AL,Escambia,DEM,4698.0
107,AL,Escambia,IND,195.0
108,AL,Escambia,IND,38.0
109,AL,Etowah,GOP,32132.0
110,AL,Etowah,DEM,10350.0
111,AL,Etowah,IND,829.0
112,AL,Etowah,IND,163.0
113,AL,Fayette,GOP,6705.0
114,AL,Fayette,DEM,1358.0
115,AL,Fayette,IND,109.0
116,AL,Fayette,IND,24.0
117,AL,Franklin,GOP,9466.0
118,AL,Franklin,DEM,2197.0
119,AL,Franklin,IND,238.0
