,FIPS,property crimes,violent crimes
0,0,9448578,1355301
1,1000,178595,19764
2,1001,1632,116
3,1003,3502,306
4,1005,97,31
5,1007,355,44
6,1009,321,27
7,1011,264,44
8,1013,677,73
9,1015,4535,777
10,1017,1752,193
11,1019,287,18
12,1021,1146,395
13,1023,23,0
14,1025,247,35
15,1027,153,13
16,1029,336,46
17,1031,542,123
18,1033,2163,343
19,1035,220,27
20,1037,268,24
21,1039,803,94
22,1041,261,25
23,1043,1385,151
24,1045,1252,177
25,1047,2717,339
26,1049,1316,122
27,1051,2024,144
28,1053,1107,187
29,1055,3476,374
30,1057,322,25
31,1059,536,64
32,1061,512,59
33,1063,310,98
34,1065,297,76
35,1067,399,57
36,1069,4050,432
37,1071,763,93
38,1073,40488,5389
39,1075,77,10
40,1077,3057,229
41,1079,706,46
42,1081,6422,617
43,1083,1336,100
44,1085,54,11
45,1087,1210,222
46,1089,14365,1557
47,1091,741,116
48,1093,592,58
49,1095,3180,256
50,1097,19570,1912
51,1099,675,121
52,1101,13485,953
53,1103,4970,345
54,1105,339,82
55,1107,265,58
56,1109,1133,81
57,1111,427,35
58,1113,1421,187
59,1115,1734,163
60,1117,3826,269
61,1119,78,11
62,1121,3953,338
63,1123,1525,275
64,1125,8843,852
65,1127,3161,157
66,1129,208,88
67,1131,70,20
68,1133,634,54
69,2000,19789,4434
70,2013,0,0
71,2016,69,16
72,2020,13601,3422
73,2050,94,50
74,2060,52,0
75,2068,0,0
76,2070,59,47
77,2090,1437,290
78,2100,37,8
79,2105,58,6
80,2110,1161,122
81,2122,966,116
82,2130,426,28
83,2150,215,37
84,2164,0,0
85,2170,750,127
86,2180,0,0
87,2185,108,60
88,2188,17,12
89,2195,260,23
90,2198,25,16
91,2220,332,13
92,2230,0,0
93,2240,0,0
94,2261,122,41
95,2270,0,0
96,2275,0,0
97,2282,0,0
98,2290,0,0
99,4000,245762,30947
100,4001,375,34
101,4003,3740,669
102,4005,4886,505
103,4007,1268,264
104,4009,928,521
105,4011,123,21
106,4012,750,159
107,4013,172208,18733
108,4015,7284,717
109,4017,5423,1435
110,4019,27320,5241
111,4021,10625,1140
112,4023,1273,74
113,4025,5088,758
114,4027,4471,676
115,5000,108087,14264
116,5001,806,77
117,5003,507,57
118,5005,1161,46
119,5007,4223,463
120,5009,825,119
121,5011,185,45
122,5013,59,4
123,5015,767,73
124,5017,204,81
125,5019,689,78
126,5021,180,17
127,5023,635,84
128,5025,158,4
129,5027,746,97
130,5029,648,41
131,5031,3802,311
132,5033,1136,69
133,5035,3438,749
134,5037,614,112
135,5039,170,34
136,5041,297,46
137,5043,647,70
138,5045,3924,308
139,5047,323,44
140,5049,143,19
