,FIPS,Percent change,Population per square mile,Resident population,Urban Fraction
0,0,9.7,87.4,308745538,0.7201992632521866
1,1000,7.5,94.4,4779736,0.5158316275208505
2,1001,25.0,91.8,54571,0.4436422275567609
3,1003,29.8,114.6,182265,0.34953501769401696
4,1005,-5.4,31.0,27457,0.3122700950577266
5,1007,10.0,36.8,22915,0.16517564913811913
6,1009,12.3,88.9,57322,0.0819057255503995
7,1011,-6.8,17.5,10914,0.412222833058457
8,1013,-2.1,27.0,20947,0.25239891153864513
9,1015,5.6,195.7,118572,0.6545052794926289
10,1017,-6.5,57.4,34215,0.5383019143650446
11,1019,8.3,46.9,25989,0.0
12,1021,10.2,63.0,43643,0.10943335701028802
13,1023,-13.0,15.2,13859,0.0
14,1025,-7.3,20.9,25833,0.2762745325746139
15,1027,-2.3,23.1,13932,0.0
16,1029,6.0,26.7,14972,0.0
17,1031,14.5,73.6,49948,0.38920477296388245
18,1033,-1.0,91.8,54428,0.5346880282207688
19,1035,-6.1,15.6,13228,0.0
20,1037,-5.4,17.7,11539,0.027645376549094377
21,1039,0.4,36.6,37765,0.27935919502184564
22,1041,1.8,22.8,13906,0.0
23,1043,3.8,109.4,80406,0.23431087232296097
24,1045,2.3,89.6,50251,0.4416031521760761
25,1047,-5.5,44.8,43820,0.5575992697398449
26,1049,10.3,91.5,71109,0.10648441125595916
27,1051,20.4,128.2,79303,0.3118923622057173
28,1053,-0.3,40.5,38319,0.3936950337952452
29,1055,0.9,195.2,104430,0.5958536818921766
30,1057,-6.8,27.5,17241,0.23183110028420625
31,1059,1.5,50.0,31704,0.27018672722684833
32,1061,4.0,46.6,26790,0.12661440836132887
33,1063,-9.3,14.0,9045,0.0
34,1065,-8.3,24.5,15760,0.16529187817258884
35,1067,6.1,30.8,17302,0.0
36,1069,14.4,175.1,101547,0.5693324273489123
37,1071,-1.3,49.4,53227,0.2402915813402972
38,1073,-0.5,592.5,658466,0.8977441507989782
39,1075,-8.4,24.1,14564,0.0
40,1077,5.4,138.8,92709,0.45736659871209917
41,1079,-1.3,49.7,34339,0.07557005154489065
42,1081,21.9,230.8,140247,0.5487176196282273
43,1083,26.0,147.8,82782,0.2644053055011959
44,1085,-16.1,15.8,11299,0.0
45,1087,-11.0,35.2,21452,0.5691776990490397
46,1089,21.0,417.7,334811,0.6370370149128911
47,1091,-6.7,21.5,21027,0.31621248870499835
48,1093,-1.4,41.5,30776,0.0030543280478294776
49,1095,13.1,164.4,93019,0.3767509863576259
50,1097,3.3,335.9,412992,0.7774726871222687
51,1099,-5.2,22.5,23068,0.227067799549159
52,1101,2.6,292.5,229363,0.8589746384551998
53,1103,7.6,206.3,119490,0.5239601640304627
54,1105,-10.7,14.7,10591,0.0
55,1107,-5.7,22.4,19746,0.0
56,1109,11.1,48.9,32899,0.35794401045624485
57,1111,2.4,39.5,22913,0.2100117837035744
58,1113,6.4,82.6,52947,0.5987119194666365
59,1115,29.1,132.3,83593,0.09531898603950091
60,1117,36.1,248.5,195085,0.4724914780736602
61,1119,-7.0,15.2,13763,0.0
62,1121,2.5,111.7,82291,0.4360987228250963
63,1123,0.3,58.1,41616,0.240460399846213
64,1125,18.1,147.3,194656,0.598507109978629
65,1127,-5.2,84.7,67023,0.23984303895677603
66,1129,-2.9,16.3,17581,0.0
67,1131,-11.5,13.1,11670,0.0
68,1133,-1.4,39.9,24484,0.16623100800522791
69,2000,13.3,1.2,710231,0.5800295960046802
70,2013,16.5,0.4,3141,0.0
71,2016,1.8,1.3,5561,0.5196907031109512
72,2020,12.1,171.2,291826,0.8571991529198906
73,2050,6.3,0.4,17013,0.2564509492740845
74,2060,-20.7,2.0,997,0.0
75,2068,-3.5,0.1,1826,0.0
76,2070,-1.5,0.3,4847,0.0
77,2090,17.8,13.3,97581,0.5972884065545547
78,2100,4.8,1.1,2508,0.0
79,2105,-37.4,0.3,2150,0.0
80,2110,1.8,11.6,31275,0.8017266187050359
81,2122,11.5,3.4,55400,0.1467870036101083
82,2130,-4.2,2.8,13477,0.7983230689322549
83,2150,-2.3,2.1,13592,0.7774426133019423
84,2164,-10.5,0.1,1631,0.0
85,2170,50.0,3.6,88995,0.2399235912129895
86,2180,3.2,0.4,9492,0.3050990307627476
87,2185,27.7,0.1,9430,0.4579003181336161
88,2188,4.4,0.2,7523,0.4076831051442244
89,2195,-42.9,1.2,3815,0.7318479685452163
90,2198,-9.6,1.4,5559,0.0
91,2220,0.5,3.1,8881,0.8228803062718162
92,2230,0.0,2.1,968,0.0
93,2240,13.8,0.3,7029,0.0
94,2261,-5.5,0.3,9636,0.0
95,2270,6.1,0.4,7459,0.0
96,2275,0.0,0.9,2369,0.0
97,2282,-18.1,0.1,662,0.0
98,2290,-14.7,0.0,5588,0.0
99,4000,24.6,56.3,6392017,0.7076816285063071
100,4001,3.0,6.4,71518,0.23219329399591712
101,4003,11.5,21.3,131346,0.595092351499094
102,4005,15.6,7.2,134421,0.5539461840039874
103,4007,4.4,11.3,53597,0.5362427001511278
104,4009,11.1,8.1,37220,0.39841483073616335
105,4011,-1.3,4.6,8437,0.5125044447078345
106,4012,3.9,4.6,20489,0.41715066621113767
107,4013,24.2,414.9,3817117,0.7811322000347383
108,4015,29.1,15.0,200186,0.585115842266692
109,4017,10.2,10.8,107449,0.3809900510940074
110,4019,16.2,106.7,980263,0.7877090127853443
111,4021,109.1,70.0,375770,0.3089176890118956
112,4023,23.6,38.3,47420,0.5470054829185997
113,4025,26.0,26.0,211033,0.49689858932015374
114,4027,22.3,35.5,195751,0.7103616328907643
115,5000,9.1,56.0,2915918,0.4807542598934538
116,5001,-8.3,19.2,19019,0.6887848993112151
117,5003,-9.7,23.6,21853,0.5441815769001968
118,5005,8.1,74.9,41513,0.30178498301736806
119,5007,44.3,261.2,221339,0.4066838650215281
120,5009,8.7,62.5,36903,0.35392786494322953
121,5011,-8.7,17.7,11508,0.5238964198818213
122,5013,-6.5,8.5,5368,0.0
123,5015,8.2,43.6,27446,0.26226043867958904
124,5017,-16.4,18.3,11800,0.7411016949152542
125,5019,-2.3,26.6,22995,0.45301152424440094
126,5021,-8.7,25.2,16083,0.41814338120997324
127,5023,8.0,46.9,25970,0.20870234886407393
128,5025,1.4,14.5,8689,0.0
129,5027,-4.1,32.1,24552,0.42562724014336917
130,5029,4.6,38.5,21273,0.263808583650637
131,5031,17.4,136.4,96443,0.5529691112885331
132,5033,16.3,104.4,61948,0.3877768450958869
133,5035,0.1,83.5,50902,0.7965305881890692
134,5037,-8.5,29.0,17870,0.4523223279238948
135,5039,-11.9,12.2,8116,0.5107195662888122
136,5041,-15.2,16.9,13008,0.7622232472324724
137,5043,-1.1,22.3,18509,0.47052785131557623
