,FIPS,American Indian and Alaska Native,Asian,Black,Hispanic or Latino Origin,Native Hawaiian and Other Pacific Islander,Not Hispanic,Two or more races,White
0,0,0.9,4.8,12.6,16.3,0.2,63.7,2.9,72.4
1,1000,0.6,1.1,26.2,3.9,0.1,67.0,1.5,68.5
2,1001,0.4,0.9,17.7,2.4,0.1,77.2,1.6,78.5
3,1003,0.7,0.7,9.4,4.4,0.0,83.5,1.5,85.7
4,1005,0.4,0.4,46.9,5.1,0.1,46.8,0.9,48.0
5,1007,0.3,0.1,22.0,1.8,0.1,75.0,0.9,75.8
6,1009,0.5,0.2,1.3,8.1,0.1,88.9,1.2,92.6
7,1011,0.2,0.2,70.2,7.1,0.4,21.9,0.8,23.0
8,1013,0.3,0.8,43.4,0.9,0.0,54.1,0.8,54.4
9,1015,0.5,0.7,20.6,3.3,0.1,73.6,1.7,74.9
10,1017,0.2,0.5,38.7,1.6,0.0,58.1,1.1,58.8
11,1019,0.5,0.2,4.6,1.2,0.0,92.1,1.5,92.7
12,1021,0.4,0.3,9.7,7.8,0.1,81.1,1.2,84.1
13,1023,0.1,0.1,43.4,0.5,0.0,55.6,0.4,55.8
14,1025,0.4,0.3,43.9,1.0,0.0,54.0,0.7,54.5
15,1027,0.4,0.2,14.8,2.9,0.0,80.3,1.7,81.7
16,1029,0.3,0.2,3.3,2.1,0.1,93.2,1.1,94.0
17,1031,1.3,1.3,16.7,6.4,0.2,72.3,2.5,74.7
18,1033,0.5,0.4,16.1,2.0,0.0,79.6,1.6,80.5
19,1035,0.3,0.1,46.5,1.2,0.0,51.1,1.0,51.3
20,1037,0.3,0.1,31.0,2.0,0.1,65.9,0.9,66.3
21,1039,0.6,0.4,12.5,1.3,0.0,84.1,1.4,84.8
22,1041,0.4,1.4,23.4,1.5,0.1,72.1,1.5,72.6
23,1043,0.5,0.4,1.1,4.3,0.0,92.7,1.1,94.7
24,1045,0.7,1.1,19.3,5.6,0.1,71.1,3.0,74.1
25,1047,0.2,0.3,69.4,0.7,0.0,28.9,0.7,29.1
26,1049,1.4,0.3,1.5,13.6,0.2,81.6,2.2,84.5
27,1051,0.4,0.7,20.0,2.7,0.1,75.0,1.4,76.2
28,1053,3.4,0.2,31.9,1.9,0.0,61.3,1.5,62.1
29,1055,0.4,0.6,15.1,3.3,0.2,79.3,1.5,80.3
30,1057,0.3,0.2,11.4,1.2,0.0,86.0,1.0,86.5
31,1059,0.7,0.2,3.9,14.9,0.0,79.6,1.7,83.0
32,1061,0.8,0.3,9.5,3.4,0.0,84.7,1.6,86.3
33,1063,0.2,0.2,81.5,0.8,0.0,17.3,0.5,17.4
34,1065,0.2,0.2,59.0,0.9,0.0,39.4,0.6,39.8
35,1067,0.3,0.3,28.6,2.2,0.0,67.8,1.0,68.6
36,1069,0.4,0.8,25.8,2.9,0.0,68.7,1.7,70.0
37,1071,1.4,0.3,3.3,2.5,0.1,90.1,2.6,90.8
